Name,Latitude,Longitude
"cuena",42.856588,-4.21069
"sao pedro de malet",-25.916667,-50.833333
"mandiali khurd",32.139682,75.096278
"phia hien",22.75,105.5
"escalos de cima",39.930272,-7.403831
"namuta",18.5666667,96.8333333
"yek khofti",34.4242,47.5405
"ratibari",24.7666667,90.1666667
"fox corner",37.0419444,-76.4277778
"sjovartoftir",61.4666667,-6.7333333
"cangklek kidul",-6.985556,107.016667
"horse corner",43.2336111,-71.4422222
"hsintzu",24.956944,117.111944
"jampiroso",-7.318056,110.186944
"torderup",56.960032,10.042118
"vaskovici",44.1525,18.8061111
"tvaladi",41.8333333,44.4333333
"kabud darreh",35.825568,53.27788
"dupilishche",53.472452,38.309654
"cabo matecheque",-23.2072222,35.0227778
"ankoby i",-15.7333333,47.3
"galian-lobangbuaya",-6.092222,107.091111
"kampong japar",5.4411,115.5837
"upperud",59.6,13.733333
"mwene-ndua",-8.05,23.333333
"huttegem",50.916667,3.5
"qal`a hajat",33.915556,68.096667
"hittaragama",7.5666667,80.0333333
"paolisi",41.033333,14.583333
"ban khlong ple",7.049611,100.502917
"la bourlotte",50.6,5.25
"shinikemachi",33.9,130.833333
"maloye khomutovo",55.933333,37.966667
"lukwesa",-8.6833333,30.6166667
"monte saltado",-11.2666667,-66.2333333
"hlapcina",46.5208333,16.4005556
"firuz kola-ye pa'in",36.380995,51.782333
"la escudilla",6.545831,-70.40954
"khurhesht",36.205,49.6871
"mazra`eh now pishkooh",31.4841,53.7989
"rond-tienne",50.133333,5.183333
"gunnita",59.533333,13.266667
"novoiushino",53.6333,85.8155
"sihanakamba",-25.1333333,44.75
"clayton le moors",53.766667,-2.383333
"matera",41.2388889,19.6083333
"regulo mucaquiua",-16.2130556,39.5694444
"pyigwin",22.8833333,95.6666667
"cannette",18.3166667,-74.1833333
"popeyo",11.623889,-72.799444
"locust lane gardens",40.2961111,-76.7866667
"dchitou bouala",-3.8166667,12.55
"vatulovona",-16.5,179.3333333
"novyy gorishchnyy",44.984722,37.916111
"malleval",45.057957,4.431011
"khum kaoh chen",11.8166667,104.8166667
"niquerito",20.05,-77.4666667
"ishkashan",37.216802,70.385198
"el baitoal",19.8,-71.55
"kampung sokmik",3.5588,102.1588
"aq barar",39.0108,47.3927
"zhaobixia",24.396667,113.766389
"ban glang kao",15.4,100.016667
"belvedere marittimo",39.616667,15.866667
"le landron",47.633333,-1.6
"graiganster",52.385,-8.5858333
